Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict?cb_nonce=104889,1,1,4121.482799993828,4121.482799993828,4121.482799993828,4121.482799993828,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=106227,1,0,1779.6393999597058,1779.6393999597058,1779.6393999597058,1779.6393999597058,39.0,0.0008323746104118736,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/predict?cb_nonce=106241,1,0,957.4168999679387,957.4168999679387,957.4168999679387,957.4168999679387,39.0,0.0008323746104118736,0.0,960,960,960,960,960,960,960,960,960,960,960
GET,/predict?cb_nonce=107095,1,0,1494.7855999926105,1494.7855999926105,1494.7855999926105,1494.7855999926105,39.0,0.0008323746104118736,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/predict?cb_nonce=107536,1,0,1364.1635000240058,1364.1635000240058,1364.1635000240058,1364.1635000240058,39.0,0.0008323746104118736,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/predict?cb_nonce=108293,1,1,4233.343100058846,4233.343100058846,4233.343100058846,4233.343100058846,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=108305,1,0,1437.351500033401,1437.351500033401,1437.351500033401,1437.351500033401,39.0,0.0008323746104118736,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/predict?cb_nonce=108513,1,1,4204.759799991734,4204.759799991734,4204.759799991734,4204.759799991734,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=108666,1,0,2180.656799930148,2180.656799930148,2180.656799930148,2180.656799930148,39.0,0.0008323746104118736,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/predict?cb_nonce=109317,1,0,2108.325600042008,2108.325600042008,2108.325600042008,2108.325600042008,39.0,0.0008323746104118736,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/predict?cb_nonce=10968,1,1,4131.851500016637,4131.851500016637,4131.851500016637,4131.851500016637,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=109811,1,1,4329.358900082298,4329.358900082298,4329.358900082298,4329.358900082298,0.0,0.0008323746104118736,0.0008323746104118736,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/predict?cb_nonce=109856,1,1,4069.7970000328496,4069.7970000328496,4069.7970000328496,4069.7970000328496,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
